code,name,secondary_name,state,begin_date,end_date,campaign,result,latitude,longitude,coord_source,summary
SC002,Secessionville,"Ft. Lamar, James Island",SC,6/16/1862,6/16/1862,Operations Against Charleston,Confederate Victory,32.70388889,-79.94805556,Wikidata Q2965192,"Early June 1862, Maj. Gen. David Hunter transported Horatio G. Wright’s and Isaac I. Stevens’s Union divisions under immediate direction of Brig. Gen. Henry Benham to James Island where they entrenched at Grimball’s Landing near the southern flank of the Confederate defenses. On June 16, contrary to Hunter’s orders, Benham launched an unsuccessful frontal assault against Fort Lamar at Secessionville. Because Benham was said to have disobeyed orders, Hunter relieved him of command."
SC003,Simmon's Bluff,,SC,6/21/1862,6/21/1862,Operations Against Charleston,Union Victory,32.69527778,-80.22805556,Wikidata Q2160111,"In June, the Federals besieging Charleston mounted an amphibious expedition to cut the Charleston & Savannah Railroad. On June 21, troops of the 55th Pennsylvania landed from the gunboat Crusader and transport Planter near Simmon’s Bluff on Wadmelaw Sound, surprising and burning an encampment of the 16th South Carolina Infantry. The Confederates scattered, and the Federals returned to their ships. Despite this minor victory, the Federals abandoned their raid on the railroad. Although a bloodless raid, this engagement typified scores of similar encounters that occurred along the South Carolina "
SC004,Charleston Harbor I,Fort Sumter,SC,4/7/1863,4/7/1863,Operations Against Defenses of Charleston,Confederate Victory,32.7524,-79.8749,Wikidata Q3910850,"In April, Maj. Gen. David Hunter prepared his land forces on Folly, Cole's, and North Edisto Islands to cooperate with a naval bombardment of Fort Sumter. On April 7, the South Atlantic Squadron under Rear Admiral S.F. Du Pont bombarded Fort Sumter, having little impact on the Confederate defenses of Charleston Harbor. Although several of Hunter’s units had embarked on transports, the infantry were not landed, and the joint operation was abandoned. The ironclad warships Keokuk, Weehawken, Passaic, Montauk, Patapsco, New Ironsides, Catskill, Nantucket, and Nahant participated in the bombardment"
SC005,Fort Wagner I,"First Assault, Morris Island",SC,7/10/1863,7/11/1863,Operations Against Defenses of Charleston,Confederate Victory,32.73,-79.871,Wikidata Q1954336,"On July 10, Union artillery on Folly Island together with Rear Adm. John Dahlgren’s fleet of ironclads opened fire on Confederate defenses of Morris Island. The bombardment provided cover for Brig. Gen. George C. Strong’s brigade, which crossed Light House Inlet and landed by boats on the southern tip of the island. Strong’s troops advanced, capturing several batteries, to within range of Confederate Fort Wagner. At dawn, July 11, Strong attacked the fort. Soldiers of the 7th Connecticut reached the parapet but, unsupported, were thrown back."
SC006,Grimball's Island,"Seccessionville, James Island",SC,7/16/1863,7/16/1863,Operations Against Defenses of Charleston,Indecisive,32.70388889,-79.94805556,Wikidata Q2965192,"To divert Confederate reinforcements from a renewed attack on Fort Wagner, Gen. Gillmore designed two feints. An amphibious force ascended Stono River to threaten the Charleston & Savannah Railroad bridge. A second force, consisting of Terry’s division, landed on James Island on July 8. Terry demonstrated against the Confederate defenses. On July 16, the Confederates attacked Terry’s camp at Grimball’s Landing. Because of incomplete reconnaissance of the difficult, marshy ground, the disorganized Confederate attack was soon aborted. Their mission accomplished, Federal troops withdrew from the "
SC007,Fort Wagner II/Morris Island,"Second Assault, Morris Island",SC,7/18/1863,7/18/1863,Operations Against Defenses of Charleston,Confederate Victory,,,,"After the July 11 assault on Fort Wagner failed, Gillmore reinforced his beachhead on Morris Island. At dusk July 18, Gillmore launched an attack spearheaded by the 54th Massachusetts Infantry, a black regiment. The unit’s colonel, Robert Gould Shaw, was killed. Members of the brigade scaled the parapet but after brutal hand-to-hand combat were driven out with heavy casualties. The Federals resorted to siege operations to reduce the fort. This was the fourth time in the war that black troops played a crucial combat role, proving to skeptics that they would fight bravely if only given the chanc"
SC008,Fort Sumter II,"Charleston Harbor, Morris Island",SC,8/17/1863,9/8/1863,Operations Against Defenses of Charleston,Indecisive,32.75241,-79.87496,Wikidata Q543165,"Federal batteries erected on Morris Island opened fire on August 17 and continued their bombardment of Fort Sumter and the Charleston defenses until August 23. Despite a severe pounding, Fort Sumter’s garrison held out. Siege operations continued against Fort Wagner on Morris Island."
SC009,Charleston Harbor II,"Battery Gregg, For Wagner, Morris Island, Fort Sumter",SC,9/5/1863,9/8/1863,Operations Against Defenses of Charleston,Confederate Victory,32.7524,-79.8749,Wikidata Q3910850,"During the night of September 6-7, Confederate forces evacuated Fort Wagner and Battery Gregg pressured by advancing Federal siegeworks. Federal troops then occupied all of Morris Island. On September 8, a storming party of about 400 marines and sailors attempted to surprise Fort Sumter. The attack was repulsed."
SC010,Honey Hill,,SC,11/30/1864,11/30/1864,Breckenridge's Advance into East Tennessee,Confederate Victory,32.486,-80.9343,Wikidata Q2236699,"Leaving Hilton Head on November 28, a Union expeditionary force under Maj. Gen. John P. Hatch steamed up the Broad River in transports to cut the Charleston & Savannah Railroad near Pocotaligo. Hatch disembarked at Boyd’s Landing and marched inland. On November 30, Hatch encountered a Confederate force of regulars and militia under Col. Charles J. Colcock at Honey Hill. Determined attacks by U.S. Colored Troops (including the 54th Massachusetts) failed to capture the Confederate entrenchments or cut the railroad. Hatch retired after dark, withdrawing to his transports at Boyd’s Neck."
SC011,Rivers' Bridge,"Salkehatchie River, Hickory Hill, Owens' Crossroads, Lawtonville, Duck Creek",SC,2/2/1865,2/3/1865,Campaign of the Carolina's,Union Victory,33.05277778,-81.09972222,Wikidata Q2036970,"On February 2, a Confederate force under McLaws held the crossings of the Salkehatchie River against the advance of the right wing of Sherman’s Army. Federal soldiers began building bridges across the swamp to bypass the road block. In the meantime, Union columns worked to get on the Confederates’ flanks and rear. On February 3, two Union brigades waded the swamp downstream and assaulted McLaws’s right. McLaws retreated toward Branchville after stalling Sherman’s advance for only one day."
TN001,Fort Henry,,TN,2/6/1862,2/6/1862,Union Penetration Up the Cumberland & Tennessee Ri,Union Victory,36.5186,-88.0391,Wikidata Q1366089,"By February 1862, Fort Henry, a Confederate earthen fort on the Tennessee River with outdated guns, was partially inundated and the river threatened to flood the rest. On February 4-5, Brig. Gen. U.S. Grant landed his divisions in two different locations, one on the east bank of the Tennessee River to prevent the garrison’s escape and the other to occupy the high ground on the Kentucky side which would insure the fort’s fall; Flag-Officer Andrew H. Foote’s seven gunboats began bombarding the fort. Brig. Gen. Lloyd Tilghman, commander of the fort’s garrison, realized that it was only a matter o"
TN002,Fort Donelson,,TN,2/12/1862,2/16/1862,Union Penetration Up the Cumberland & Tennessee Ri,Union Victory,36.493055555,-87.856111111,Wikidata Q601359,"After capturing Fort Henry on February 6, 1862, Brig. Gen. Ulysses S. Grant advanced cross-country to invest Fort Donelson. On February 16, 1862, after the failure of their all-out attack aimed at breaking through Grant’s investment lines, the fort’s 12,000-man garrison surrendered unconditionally. This was a major victory for Brig. Gen. Ulysses S. Grant and a catastrophe for the South. It ensured that Kentucky would stay in the Union and opened up Tennessee for a Northern advance along the Tennessee and Cumberland rivers. Grant received a promotion to major general for his victory and attaine"
TN003,Shiloh,Pittsburg Landing,TN,4/6/1862,4/7/1862,Union Penetration Up the Cumberland & Tennessee Ri,Union Victory,35.1153617,-88.3617085,"OpenStreetMap: Shiloh, Hardin County, West Tennessee, Tennessee, 38376, United States","As a result of the fall of Forts Henry and Donelson, Confederate Gen. Albert Sidney Johnston, the commander in the area, was forced to fall back, giving up Kentucky and much of West and Middle Tennessee. He chose Corinth, Mississippi, a major transportation center, as the staging area for an offensive against Maj. Gen. Ulysses S. Grant and his Army of the Tennessee before the Army of the Ohio, under Maj. Gen. Don Carlos Buell, could join it. The Confederate retrenchment was a surprise, although a pleasant one, to the Union forces, and it took Grant, with about 40,000 men, some time to mount a "
TN004,Memphis I,,TN,6/6/1862,6/6/1862,Joint Operations Against New Madrid Island No. 10,Union Victory,35.1291,-90.1558,Wikidata Q1387983,"After the Confederate River Defense Fleet, commanded by Capt. James E. Montgomery and Brig. Gen. M. Jeff Thompson (Missouri State Guard), bested the Union ironclads at Plum Run Bend, Tennessee, on May 10, 1862, they retired to Memphis. Confederate Gen. P.G.T. Beauregard ordered troops out of Fort Pillow and Memphis on June 4, after learning of Union Maj. Gen. Henry W. Halleck’s occupation of Corinth, Mississippi. Thompson’s few troops, camped outside Memphis, and Montgomery’s fleet were the only force available to meet the Union naval threat to the city. From Island No. 45, just north of Memph"
TN005,Chattanooga I,,TN,6/7/1862,6/8/1862,Confederate Heartland Offensive,Union Victory,35.0651,-85.3088,Wikidata Q2443807,"In late Spring 1862, the Confederacy split its forces in Tennessee into several small commands in an attempt to complicate Federal operations. The Union had to redistribute its forces to counter the Confederate command structure changes. Maj. Gen. Ormsby Mitchel received orders to go to Huntsville, Alabama, with his division to repair railroads in the area. Soon, he occupied more than 100 miles along the Nashville & Chattanooga and Memphis & Charleston railroads. In May, Mitchel and his men sparred with Maj. Gen. Edmund Kirby Smith’s men. After Mitchel received command of all Federal troops be"
TN006,Murfreesboro I,"Wilkinson Pike, Cedars",TN,7/13/1862,7/13/1862,Confederate Heartland Offensive,Union Victory,35.847,-86.393,Wikidata Q2897821,"On June 10, 1862, Maj. Gen. Don Carlos Buell commanding the Army of the Ohio, started a leisurely advance toward Chattanooga, which Union Brig. Gen. James Negley and his force threatened on June 7-8. In response to the threat, the Confederate government sent Brig. Gen. Nathan Bedford Forrest to Chattanooga to organize a cavalry brigade. By July, Confederate cavalry under the command of Forrest and Col. John Hunt Morgan were raiding into Middle Tennessee and Kentucky. Perhap, the most dramatic of these cavalry raids was Forrest’s capture of the Union Murfreesboro garrison on July 13, 1862. Forr"
TN007,Hatchie's Bridge,"Davis Bridge, Matamora",TN,10/6/1862,10/6/1862,Iuka and Corinth Operations,Union Victory,,,,"Maj. Gen. Earl Van Dorn’s Confederate Army of West Tennessee retreated from Corinth on October 4, 1862. Maj. Gen. William S. Rosecrans did not send forces in pursuit until the morning of the 5th. Maj. Gen. Edward O.C. Ord, commanding a detachment of the Army of West Tennessee, was, pursuant to orders, advancing on Corinth to assist Rosecrans. On the night of October 4-5, he camped near Pocahontas. Between 7:30 and 8:00 am the next morning, his force encountered Union Maj. Gen. Stephen A. Hurlbut’s 4th Brigade, Army of West Tennessee, in the Confederates’s front. Ord took command of the now-com"
TN008,Hartsville,,TN,12/7/1862,12/7/1862,Stones River Campaign,Confederate Victory,36.3777,-86.1743,Wikidata Q2454284,"The 39th Brigade, XIV Army Corps, was guarding the Cumberland River crossing at Hartsville to prevent Confederate cavalry from raiding. Under the cover of darkness, Brig. Gen. John H. Morgan crossed the river in the early morning of December 7, 1862. Col. Absalom B. Moore, commander of the 39th Brigade, stated in his after action report, that Morgan’s advance had worn Union blue uniforms which got them through the videttes. Morgan approached the Union camp, the pickets sounded the alarm, and held the Rebels until the brigade was in battle line. The fighting commenced at 6:45 am and continued u"
TN009,Jackson,,TN,12/19/1862,12/19/1862,Forrest's Expedition Into West Tennessee,Confederate Victory,32.2875,-90.2,Wikidata Q2043320,"The engagement at Jackson occurred during Brig. Gen. Nathan Bedford Forrest’s Expedition into West Tennessee, between December 11, 1862, and January 1, 1863. Forrest wished to interrupt the rail supply line to Maj. Gen. Ulysses S. Grant’s army, campaigning down the Mississippi Central Railroad. If he could destroy the Mobile & Ohio Railroad running south from Columbus, Kentucky, through Jackson, Grant would have to curtail or halt his operations. Forrest’s 2,100-man cavalry brigade crossed the Tennessee River on December 15-17, heading west. Maj. Gen. Grant ordered a troop concentration at Jac"
TN010,Stones River,Murfreesboro,TN,12/31/1862,1/2/1863,Stones River Campaign,Union Victory,35.868472222,-86.430555555,Wikidata Q1272132,"After Gen. Braxton Bragg’s defeat at Perryville, Kentucky, October 8, 1862, he and his Confederate Army of the Mississippi retreated, reorganized, and were redesignated as the Army of Tennessee. They then advanced to Murfreesboro, Tennessee, and prepared to go into winter quarters. Maj. Gen. William S. Rosecrans’s Union Army of the Cumberland followed Bragg from Kentucky to Nashville. Rosecrans left Nashville on December 26, with about 44,000 men, to defeat Bragg’s army of more than 37,000. He found Bragg’s army on December 29 and went into camp that night, within hearing distance of the Rebel"
TN011,Parker's Cross Roads,,TN,12/31/1862,12/31/1862,Forrest's Expedition Into West Tennessee,Confederate Victory,35.793,-88.393,Wikidata Q2556972,"As Brig. Gen. Nathan Bedford Forrest’s expedition into West Tennessee neared its conclusion, Union Brig. Gen. Jeremiah C. Sullivan, with the brigades of Col. Cyrus L. Dunham and Col. John W. Fuller, attempted to cut Forrest off from withdrawing across the Tennessee River. Dunham’s and Forrest’s march routes, on December 31, 1862, brought them into contact at Parker’s Cross Roads. Skirmishing began about 9:00 am, with Forrest taking an initial position along a wooded ridge northwest of Dunham at the intersection. Confederate artillery gained an early advantage. Dunham pulled his brigade back a "
TN012,Dover,Fort Donelson,TN,2/3/1863,2/3/1863,Middle Tennessee Operations,Union Victory,36.48485,-87.85747,Wikidata Q2352722,"Under orders, in late January 1863, Confederate Maj. Gen. Joseph Wheeler, commanding two brigades of cavalry, had taken position on the Cumberland River at Palmyra to disrupt Union shipping. The Federals, however, apprised of Wheeler’s intent, refrained from sending any boats up or downriver. Unable to disrupt Union shipping and realizing that he and his men could not remain in the area indefinitely, Wheeler decided to attack the garrison at Dover, Tennessee, which informers reported was small and could easily be overwhelmed. The Rebels set out for Dover and between 1:00 and 2:00 pm, on Februa"
TN013,Thompson's Station,,TN,3/4/1863,3/5/1863,Middle Tennessee Operations,Confederate Victory,35.798,-86.9063,Wikidata Q2608018,"In a period of relative inactivity following the Battle of Stones River, a reinforced Union infantry brigade, under Col. John Coburn, left Franklin to reconnoiter south toward Columbia. Four miles from Spring Hill, Coburn attacked with his right wing, a Confederate force composed of two regiments; he was repelled. Then, Maj. Gen. Van Dorn seized the initiative. Brig. Gen. W.H. ’Red’ Jackson’s dismounted 2nd Division made a frontal attack, while Brig. Gen. Nathan Bedford Forrest’s division swept around Coburn’s left flank, and into his rear. After three attempts, characterized by hard fighting,"
TN014,Vaught's Hill,Milton,TN,3/20/1863,3/20/1863,Middle Tennessee Operations,Union Victory,35.92523,-86.2047,Wikidata Q2095199,"During the inactivity following the Battle of Stones River, a Union brigade-sized reconnaissance force, under Col. Albert S. Hall, left Murfreesboro on March 18. Circling to the northeast, Hall encountered Confederate Brig. Gen. John Hunt Morgan’s cavalry command which caused him to fall back to a position east of Milton. Pursuing Hall, Morgan’s men caught up with him on the morning of the 20th, at Vaught’s Hill. Dismounted, Morgan struck at both Union flanks, even to the point of encircling Hall’s hilltop position. Hall conducted a perimeter defense and withstood all Confederate attacks, whic"
TN015,Brentwood,,TN,3/25/1863,3/25/1863,Middle Tennessee Operations,Confederate Victory,36.0363,-86.7855,Wikidata Q2213542,"Union Lt. Col. Edward Bloodgood held Brentwood, a station on the Nashville & Decatur Railroad, with 400 men on the morning of March 25, 1863, when Confederate Brig. Gen. Nathan B. Forrest, with a powerful column, approached the town. The day before, Forrest had ordered Col. J.W. Starnes, commanding the 2nd Brigade, to go to Brentwood, cut the telegraph, tear up railroad track, attack the stockade, and cut off any retreat. Forrest and the other cavalry brigade joined Bloodgood about 7:00 am on the 25th. A messenger from the stockade informed Bloodgood that Forrest’s men were about to attack and"
TN016,Franklin I,,TN,4/10/1863,4/10/1863,Middle Tennessee Operations,Union Victory,35.9174,-86.8733,Wikidata Q370671,"The 1863 engagement at Franklin was a reconnaissance in force by Confederate cavalry leader Maj. Gen. Earl Van Dorn coupled with an equally inept response by Union Maj. Gen. Gordon Granger. Van Dorn advanced northward from Spring Hill on May 10, making contact with Federal skirmishers just outside Franklin. Van Dorn’s attack was so weak that when Granger received a false report that Brentwood, to the north, was under attack, he believed it, and sent away most of his cavalry, thinking that the Confederate general was undertaking a diversion. When the truth became known’there was no threat to Br"
TN017,Hoover's Gap,Liberty Gap,TN,6/24/1863,6/26/1863,Tullahoma (of Middle Tennessee) Campaign,Union Victory,35.6305,-86.2454,Wikidata Q860502,"Following the Battle of Stones River, Maj. Gen. William S. Rosecrans, commanding the Army of the Cumberland, remained in the Murfreesboro area for five and one-half months. To counter the Yankees, Gen. Braxton Bragg, commander of the Army of Tennessee, established a fortified line along the Duck River from Shelbyville to Wartrace. On the Confederate right, infantry and artillery detachments guarded Liberty, Hoover’s, and Bellbuckle gaps through the mountains. Rosecrans’s superiors, fearing that Bragg might detach large numbers of men to help break the Siege of Vicksburg, urged him to attack th"
TN018,Chattanooga II,,TN,8/21/1863,8/21/1863,Chickamauga Campaign,Union Victory,35.0651,-85.3088,Wikidata Q2443807,"On August 16, 1863, Maj. Gen. William S. Rosecrans, commander of the Army of the Cumberland, launched a campaign to take Chattanooga. Col. John T. Wilder’s brigade of the Union 4th Division, XIV Army Corps marched to a location northeast of Chattanooga where the Confederates could see them, reinforcing Gen. Braxton Bragg’s expectations of a Union attack on the town from that direction. On August 21, Wilder reached the Tennessee River opposite Chattanooga and ordered the 18th Indiana Light Artillery to begin shelling the town. The shells caught many soldiers and civilians in town in church obse"
TN019,Blountsville,,TN,9/22/1863,9/22/1863,East Tennessee Campaign,Union Victory,,,,"Maj. Gen. Ambrose Burnside, commander of the Department of the Ohio, undertook an expedition into East Tennessee to clear the roads and gaps to Virginia, and, if possible, secure the saltworks beyond Abingdon. On September 22, Union Col. John W. Foster with his cavalry and artillery engaged Col. James E. Carter and his troops at Blountsville. Foster attacked at noon and in the four-hour battle, shelled the town and initiated a flanking movement, compelling the Confederates to withdraw. Blountsville was the initial step in the Union’s attempt to force Confederate Maj. Gen. Sam Jones and his com"
TN020,Blue Springs,,TN,10/10/1863,10/10/1863,East Tennessee Campaign,Union Victory,36.1934,-82.9373,Wikidata Q2411860,"Maj. Gen. Ambrose E. Burnside, commander of the Department of the Ohio, undertook an expedition into East Tennessee to clear the roads and passes to Virginia, and, if possible, secure the saltworks beyond Abingdon. In October, Confederate Brig. Gen. John S. Williams, with his cavalry force, set out to disrupt Union communications and logistics. He wished to take Bull’s Gap on the East Tennessee & Virginia Railroad. On October 3, while advancing on Bull’s Gap, he fought with Brig. Gen. Samuel P. Carter’s Union Cavalry Division, XXIII Army Corps, at Blue Springs, about nine miles from Bull’s Gap"
TN021,Wauhatchie,Brown's Ferry,TN,10/28/1863,10/29/1863,Reopening the Tennessee River,Union Victory,35.009722222,-85.374444444,Wikidata Q2501125,"In an effort to relieve Union forces besieged in Chattanooga, Maj. Gen. George H. Thomas and Maj. Gen. Ulysses S. Grant initiated the ’Cracker Line Operation’ on October 26, 1863. This operation required the opening of the road to Chattanooga from Brown’s Ferry on the Tennessee River with a simultaneous advance up Lookout Valley, securing the Kelley’s Ferry Road. Union Chief Engineer, Military Division of the Mississippi, Brig. Gen. William F. ’Baldy’ Smith, with Brig. Gen. John B. Turchin’s and Brig. Gen. William B. Hazen’s 1st and 2nd brigades, 3rd Division, IV Army Corps, was assigned the t"
TN022,Collierville,,TN,11/3/1863,11/3/1863,Operations on the Memphis and Charleston RR,Union Victory,35.042036,-89.6645266,"OpenStreetMap: Collierville, Shelby County, West Tennessee, Tennessee, 38017, United States","Four minor battles occurred in 1863 at Collierville, Tennessee, during a three-month period. The November 3 fight was intended to be a Confederate cavalry raid to break up the Memphis & Charleston Railroad behind Maj. Gen. William T. Sherman’s XV Army Corps, then in the process of marching to the relief of Chattanooga. But, when Brig. Gen. James R. Chalmers, leading a cavalry division riding up from Mississippi, learned that only two Union regiments defended Collierville, he decided to attack. Union Col. Edward Hatch possessed more men than Chalmers supposed, stationed at Collierville and at G"
TN023,Campbell's Station,,TN,11/16/1863,11/16/1863,Longstreet's Knoxville Campaign,Union Victory,35.8846,-84.1539,Wikidata Q1853552,"In early November 1863, Lt. Gen. James Longstreet, with two divisions and about 5,000 cavalry, was detached from the Confederate Army of Tennessee near Chattanooga to attack Maj. Gen. Ambrose E. Burnside’s Union Department of the Ohio troops at Knoxville, Tennessee. Following parallel routes, Longstreet and Burnside raced for Campbell’s Station, a hamlet where the Concord Road, from the south, intersected the Kingston Road to Knoxville. Burnside hoped to reach the crossroads first and continue on to safety in Knoxville; Longstreet planned to reach the crossroads and hold it, which would preven"
TN024,Chattanooga III,"Missionary Ridge, Lookout Mountain",TN,11/23/1863,11/25/1863,Chattanooga-Ringgold Campaign,Union Victory,35.0651,-85.3088,Wikidata Q2443807,"From the last days of September through October 1863, Gen. Braxton Bragg’s army laid siege to the Union army under Maj. Gen. William Rosecrans at Chattanooga, cutting off its supplies. On October 17, Maj. Gen. Ulysses S. Grant received command of the Western armies; he moved to reinforce Chattanooga and replaced Rosecrans with Maj. Gen. George Thomas. A new supply line was soon established. Maj. Gen. William T. Sherman arrived with his four divisions in mid-November, and the Federals began offensive operations. On November 23-24, Union forces struck out and captured Orchard Knob and Lookout Mo"
TN025,Fort Sanders,Fort Loudon,TN,11/29/1863,11/29/1863,Longstreet's Knoxville Campaign,Union Victory,35.9589,-83.9338,Wikidata Q2672202,"In attempting to take Knoxville, the Confederates decided that Fort Sanders was the only vulnerable place where they could penetrate Union Maj. Gen. Ambrose E. Burnside’s fortifications, which enclosed the city, and successfully conclude the siege, already a week long. The fort surmounted an eminence just northwest of Knoxville. Northwest of the fort, the land dropped off abruptly. Confederate Lt. Gen. James Longstreet believed he could assemble a storming party, undetected at night, below the fortifications and, before dawn, overwhelm Fort Sanders by a coup de main. Following a brief artiller"
TN026,Bean's Station,,TN,12/14/1863,12/14/1863,Longstreet's Knoxville Campaign,Confederate Victory,36.3248,-83.369,Wikidata Q962434,"Lt. Gen. James Longstreet abandoned the Siege of Knoxville, on December 4, 1863, and retreated northeast towards Rogersville, Tennessee. Union Maj. Gen. John G. Parke pursued the Confederates but not too closely. Longstreet continued to Rutledge on December 6 and Rogersville on the 9th. Parke sent Brig. Gen. J.M Shackelford on with about 4,000 cavalry and infantry to search for Longstreet. On the 13th, Shackelford was near Bean’s Station on the Holston River. Longstreet decided to go back and capture Bean’s Station. Three Confederate columns and artillery approached Bean’s Station to catch the"
TN027,Mossy Creek,,TN,12/29/1863,12/29/1863,Operations About Dandridge Tennessee,Union Victory,36.1444,-83.4423,Wikidata Q4787087,"Brig. Gen. Samuel D. Sturgis received a report on the night of December 28, 1863, that a brigade of enemy cavalry was in the neighborhood of Dandridge that afternoon. Surmising that the Rebel cavalry force was split, Sturgis decided to meet and defeat, and possibly capture, this portion of it. He ordered most of his troopers out toward Dandridge on two roads. After these troops had left, Maj. Gen. William T. Martin, commander of Longstreet’s Confederate cavalry, now reunited, attacked the remainder of Sturgis’s force at Mossy Creek, Tennessee, which included the First Brigade, Second Division,"
TN028,Dandridge,,TN,1/17/1864,1/17/1864,Operations About Dandridge Tennessee,Confederate Victory,36.0472,-83.3493,Wikidata Q2111889,"Union forces under Maj. Gen. John G. Parke advanced on Dandridge, Tennessee, near the East Tennessee & Virginia Railroad, on January 14, forcing Lt. Gen. James Longstreet’s Confederate troops to fall back. Longstreet, however, moved additional troops into the area on the 15th to meet the enemy and threaten the Union base at New Market. On the 16th, Brig. Gen. Samuel D. Sturgis, commanding the Cavalry Corps, Army of the Ohio, rode forward to occupy Kimbrough’s Crossroads. Within three or four miles of his objective, Sturgis’s cavalry met Rebel troops, forcing them back towards the crossroads. A"
TN029,Fair Garden,,TN,1/27/1864,1/28/1864,Operations About Dandridge Tennessee,Union Victory,35.8645,-83.5096,Wikidata Q2466734,"Since the Battle of Dandridge, the Union cavalry had moved to the south side of the French Broad River and had disrupted Confederate foraging and captured numerous wagons in that area. On January 25, 1864, Lt. Gen. James Longstreet, commander of the Department of East Tennessee, instructed his subordinates to do something to curtail Union operations south of the French Broad. On the 26th, Brig. Gen. Samuel D. Sturgis, having had various brushes with Confederate cavalry, deployed his troopers to watch the area fords. Two Confederate cavalry brigades and artillery advanced from Fair Garden in th"
TN030,Fort Pillow,,TN,4/12/1864,4/12/1864,Atlanta Campaign,Confederate Victory,35.6324,-89.8487,Wikidata Q1821843,"In April 1864, the Union garrison at Fort Pillow, a Confederate-built earthen fortification and a Union-built inner redoubt, overlooking the Mississippi River about forty river miles above Memphis, comprised 295 white Tennessee troops and 262 U.S. Colored Troops, all under the command of Maj. Lionel F. Booth. Confederate Maj. Gen. Nathan Bedford Forrest attacked the fort on April 12 with a cavalry division of approximately 2,500 men. Forrest seized the older outworks, with high knolls commanding the Union position, to surround Booth’s force. Rugged terrain prevented the gunboat New Era from pr"
TN031,Memphis II,,TN,8/21/1864,8/21/1864,Operations in Mobile Bat,Confederate Victory,35.1291,-90.1558,Wikidata Q1387983,"At 4:00 am on the morning of August 21, 1864, Maj. Gen. Nathan Bedford Forrest made a daring raid on Union-held Memphis, Tennessee, but it was not an attempt to capture the city, occupied by 6,000 Federal troops. The raid had three objectives: to capture three Union generals posted there; to release Southern prisoners from Irving Block Prison; and to cause the recall of Union forces from Northern Mississippi. Striking northwestward for Memphis with 2,000 cavalry, Forrest lost about a quarter of his strength because of exhausted horses. Surprise was essential. Taking advantage of a thick dawn f"
TN032,Johnsonville,,TN,11/3/1864,11/4/1864,Savannah Campaign,Confederate Victory,36.0708,-87.9757,Wikidata Q4871346,"In an effort to check the Union army’s advance through Georgia, Maj. Gen. Nathan Bedford Forrest led a 23-day raid culminating in an attack on the Yankee supply base at Johnsonville, Tennessee. Swinging north from Corinth, Mississippi, toward the Kentucky border and temporarily blockading the Tennessee River at Fort Herman, Forrest then moved southward along the Tennessee River’s west bank, capturing several U.S. steamers and a gunboat which he later had to abandon. On November 4, Forrest began positioning his artillery across the river from the Federal supply base and landing at Johnsonville."
TN033,Bull's Gap,,TN,11/11/1864,11/14/1864,Forrest's Raid Into West Tennessee,Confederate Victory,36.252,-83.081,Wikidata Q4870590,"In November 1864, Maj. Gen. John C. Breckinridge undertook an expedition into East Tennessee, anticipating that Confederate sympathizers would join his force and help drive the Yankees from the area. The Federals initially retired in front of this force and, on November 10, were at Bull’s Gap on the East Tennessee & Virginia Railroad. The Confederates attacked them on the morning of the 11th but were repulsed by 11:00 am. Artillery fire continued throughout the day. The next morning, both sides attacked; the Confederates sought to hit the Union forces in a variety of locations but they gained "
TN034,Columbia,,TN,11/24/1864,11/29/1864,Savannah Campaign,Confederate Victory,35.6163,-87.0488,Wikidata Q4870777,"Conflict near Columbia, during Hood’s 1864 Tennessee invasion, constituted a Confederate diversion as part of a maneuver designed to cross the Duck River upstream and interdict the Union army’s line of communications with Nashville. As Gen. John Bell Hood’s army advanced northeastward from Florence, Alabama, Maj. Gen. John M. Schofield’s force quickly withdrew from Pulaski to Columbia, arriving on November 24, just ahead of Forrest’s Rebel cavalry. The Federals built two lines of earthworks south of the town while skirmishing with enemy cavalry on November 24 and 25. Hood advanced his infantry"
TN035,Spring Hill,,TN,11/29/1864,11/29/1864,Savannah Campaign,Union Victory,35.7374,-86.9323,Wikidata Q4872423,"Spring Hill was the prelude to the Battle of Franklin. On the night of November 28, 1864, Gen. John Bell Hood’s Army of Tennessee marched toward Spring Hill to get astride Maj. Gen. John M. Schofield’s Union army’s life line. Cavalry skirmishing between Brig. Gen. James H. Wilson’s Union cavalry and Maj. Gen. Nathan Bedford Forrest’s Confederate troopers continued throughout the day as the Confederates advanced. On November 29, Hood’s infantry crossed Duck River and converged on Spring Hill. In the meantime, Maj. Gen. Schofield reinforced the troops holding the crossroads at Spring Hill. In la"
TN036,Franklin II,,TN,11/30/1864,11/30/1864,Savannah Campaign,Union Victory,35.9174,-86.8733,Wikidata Q370671,"Having lost a good opportunity at Spring Hill to hurt significantly the Union Army, Gen. John B. Hood marched in rapid pursuit of Maj. Gen. John M. Schofield’s retreating Union army. Schofield’s advance reached Franklin about sunrise on November 30 and quickly formed a defensive line in works thrown up by the Yankees in the spring of 1863, on the southern edge of town. Schofield wished to remain in Franklin to repair the bridges and get his supply trains over them. Skirmishing at Thompson’s Station and elsewhere delayed Hood’s march, but, around 4:00 pm, he marshaled a frontal attack against t"
